2021-08-03 12:54:39,739 [INFO] | {'bid': 138.59, 'ask': 138.68}
2021-08-03 12:54:39,739 [INFO] | {'bid': 157.47, 'ask': 157.61}
2021-08-03 12:54:39,769 [INFO] | {'bid': 233.96, 'ask': 234.08}
2021-08-03 12:54:39,808 [INFO] | {'bid': 233.96, 'ask': 234.13}
2021-08-03 12:54:40,035 [INFO] | {'bid': 38587.17, 'ask': 38589.31}
2021-08-03 12:54:40,045 [INFO] | {'bid': 38587.17, 'ask': 38591.7}
2021-08-03 12:54:40,056 [INFO] | {'bid': 38587.17, 'ask': 38604.23}
2021-08-03 12:54:40,147 [INFO] | {'bid': 0.06386, 'ask': 0.06388}
2021-08-03 12:54:40,160 [INFO] | {'bid': 0.06384, 'ask': 0.06386}
2021-08-03 12:54:40,172 [INFO] | {'bid': 0.06384, 'ask': 0.06386}
2021-08-03 12:54:40,216 [INFO] | {'bid': 393.03, 'ask': 393.22}
2021-08-03 12:54:40,254 [INFO] | {'bid': 325.593, 'ask': 325.594}
2021-08-03 12:54:40,277 [INFO] | {'bid': 325.593, 'ask': 325.594}
2021-08-03 12:54:40,288 [INFO] | {'bid': 325.593, 'ask': 325.594}
2021-08-03 12:54:40,297 [INFO] | {'bid': 325.593, 'ask': 325.641}
2021-08-03 12:54:40,313 [INFO] | {'bid': 325.593, 'ask': 325.66}
2021-08-03 12:54:40,321 [INFO] | {'bid': 393.03, 'ask': 393.24}
2021-08-03 12:54:40,334 [INFO] | {'bid': 393.03, 'ask': 393.26}
2021-08-03 12:54:40,742 [INFO] | {'bid': 110.96, 'ask': 110.99}
2021-08-03 12:54:40,765 [INFO] | {'bid': 110.96, 'ask': 111.0}
2021-08-03 12:54:40,779 [INFO] | {'bid': 534.44, 'ask': 534.45}
2021-08-03 12:54:40,864 [INFO] | {'bid': 534.44, 'ask': 534.47}
2021-08-03 12:54:41,766 [INFO] | {'bid': 138.64, 'ask': 138.68}
2021-08-03 12:54:41,776 [INFO] | {'bid': 157.5, 'ask': 157.61}
